proof_id,title,family,source_batch,local_image,public_slug,caption_text
proof_01_matt,From isolation to confidence.,Testimonial,proof_ads_batch_01,output/proof_ads_all_100/images/proof_01_matt.png,proof_01_matt.png,"From isolation to confidence.

Real member progress from Torch Method.

#torchmethod #datingadvice #socialskills #mensgrowth"
proof_02_ethan,Dating feels navigable now.,Testimonial,proof_ads_batch_01,output/proof_ads_all_100/images/proof_02_ethan.png,proof_02_ethan.png,"Dating feels navigable now.

Real member progress from Torch Method.

#torchmethod #datingadvice #socialskills #mensgrowth"
proof_03_ryan,Clear guidance beats vague motivation.,Testimonial,proof_ads_batch_01,output/proof_ads_all_100/images/proof_03_ryan.png,proof_03_ryan.png,"Clear guidance beats vague motivation.

Real member progress from Torch Method.

#torchmethod #datingadvice #socialskills #mensgrowth"
proof_04_charlie,The change is visible in the relationship.,Testimonial,proof_ads_batch_01,output/proof_ads_all_100/images/proof_04_charlie.png,proof_04_charlie.png,"The change is visible in the relationship.

Real member progress from Torch Method.

#torchmethod #datingadvice #socialskills #mensgrowth"
proof_05_stats,Real proof beats empty hype.,Stats,proof_ads_batch_01,output/proof_ads_all_100/images/proof_05_stats.png,proof_05_stats.png,"Real proof beats empty hype.

Real member progress from Torch Method.

#torchmethod #datingadvice #socialskills #mensgrowth"
proof_06_matt_social,Social skills that actually carry into life.,Testimonial,proof_ads_batch_02,output/proof_ads_all_100/images/proof_06_matt_social.png,proof_06_matt_social.png,"Social skills that actually carry into life.

Real member progress from Torch Method.

#torchmethod #datingadvice #socialskills #mensgrowth"
proof_07_matt_confidence,Confidence built step by step.,Testimonial,proof_ads_batch_02,output/proof_ads_all_100/images/proof_07_matt_confidence.png,proof_07_matt_confidence.png,"Confidence built step by step.

Real member progress from Torch Method.

#torchmethod #datingadvice #socialskills #mensgrowth"
proof_08_ethan_anxiety,Most guys do not realize anxiety is driving the whole thing.,Testimonial,proof_ads_batch_02,output/proof_ads_all_100/images/proof_08_ethan_anxiety.png,proof_08_ethan_anxiety.png,"Most guys do not realize anxiety is driving the whole thing.

Real member progress from Torch Method.

#torchmethod #datingadvice #socialskills #mensgrowth"
proof_09_ethan_intention,"Respond with intention, not panic.",Testimonial,proof_ads_batch_02,output/proof_ads_all_100/images/proof_09_ethan_intention.png,proof_09_ethan_intention.png,"Respond with intention, not panic.

Real member progress from Torch Method.

#torchmethod #datingadvice #socialskills #mensgrowth"
proof_10_ryan_practical,Practical beats motivational every time.,Testimonial,proof_ads_batch_02,output/proof_ads_all_100/images/proof_10_ryan_practical.png,proof_10_ryan_practical.png,"Practical beats motivational every time.

Real member progress from Torch Method.

#torchmethod #datingadvice #socialskills #mensgrowth"
proof_11_ryan_framework,A framework you can rely on when you are uncertain.,Testimonial,proof_ads_batch_02,output/proof_ads_all_100/images/proof_11_ryan_framework.png,proof_11_ryan_framework.png,"A framework you can rely on when you are uncertain.

Real member progress from Torch Method.

#torchmethod #datingadvice #socialskills #mensgrowth"
